NodeKey,Value,DataType,Size,Quality,SourceTimeStamp,ServerTimeStamp,NodeKey:1,NodeId
42,,8,1,24,2024-03-19 13:31:03.376,2024-03-19 13:31:03.376,42,Device1.Alarm_NCAlarm:OR
42,,8,1,192,2024-03-19 13:19:24.119,2024-03-19 13:19:24.119,42,Device1.Alarm_NCAlarm:OR
42,,8,1,24,2024-03-19 13:16:43.902,2024-03-19 13:16:48.604,42,Device1.Alarm_NCAlarm:OR
42,M01 	No operation mode             	0101        	            	  ,8,1,24,2024-02-07 17:19:33.994,2024-02-07 17:19:33.994,42,Device1.Alarm_NCAlarm:OR
42,M01 	No operation mode             	0101        	            	  ,8,1,192,2024-02-07 17:19:31.994,2024-02-07 17:19:31.994,42,Device1.Alarm_NCAlarm:OR
43,", , , , , , , , , ",8200,10,24,2024-03-19 13:31:03.376,2024-03-19 13:31:03.376,43,Device1.Alarm_NCAlarm:OR:A10
43,", , , , , , , , , ",8200,10,192,2024-03-19 13:19:24.119,2024-03-19 13:19:24.119,43,Device1.Alarm_NCAlarm:OR:A10
43,", , , , , , , , , ",8200,10,24,2024-03-19 13:16:43.902,2024-03-19 13:16:48.604,43,Device1.Alarm_NCAlarm:OR:A10
43,"M01 	No operation mode             	0101        	            	  , , , , , , , , , ",8200,10,24,2024-02-07 17:19:33.994,2024-02-07 17:19:33.994,43,Device1.Alarm_NCAlarm:OR:A10
43,"M01 	No operation mode             	0101        	            	  , , , , , , , , , ",8200,10,192,2024-02-07 17:19:31.994,2024-02-07 17:19:31.994,43,Device1.Alarm_NCAlarm:OR:A10
44,0,3,1,24,2024-03-19 13:31:03.376,2024-03-19 13:31:03.936,44,Device1.AxisStatus_1stReferencePositionReturnCompletion1:OR
44,0,3,1,192,2024-03-19 13:19:24.119,2024-03-19 13:19:24.119,44,Device1.AxisStatus_1stReferencePositionReturnCompletion1:OR
44,0,3,1,24,2024-03-19 13:16:43.902,2024-03-19 13:16:48.604,44,Device1.AxisStatus_1stReferencePositionReturnCompletion1:OR
44,0,3,1,24,2024-02-07 17:19:33.994,2024-02-07 17:19:34.618,44,Device1.AxisStatus_1stReferencePositionReturnCompletion1:OR
5,771732,3,1,24,2024-03-19 13:31:03.376,2024-03-19 13:31:17.907,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:31:02.476,2024-03-19 13:31:02.476,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:31:00.476,2024-03-19 13:31:00.476,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:30:59.486,2024-03-19 13:30:59.486,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:30:58.476,2024-03-19 13:30:58.476,5,Device1.ServoMonitor_CYCCNT1:OR
