NodeKey,Value,DataType,Size,Quality,SourceTimeStamp,ServerTimeStamp,NodeKey:1,NodeId
2,FFFF,3,1,192,133565191969660000,133565191969660000,2,Device1.ServoMonitor_Current3:OR
40,B,3,1,192,133565191969800000,133565191969800000,40,Device1.ServoMonitor_MAXCUR21:OR
41,B,3,1,192,133565191969840000,133565191969840000,41,Device1.ServoMonitor_MAXCUR22:OR
3,D1FF9,3,1,192,133565191970120000,133565191970120000,3,Device1.ServoMonitor_CYCCNT1:OR
4,14F7F,3,1,192,133565191970160000,133565191970160000,4,Device1.ServoMonitor_CYCCNT2:OR
5,312C6,3,1,192,133565191970200000,133565191970200000,5,Device1.ServoMonitor_CYCCNT3:OR
7, -76.107,8,1,192,133565191970440000,133565191970440000,7,Device1.ServoMonitor_MACPOS1:OR
8, -75.929,8,1,192,133565191970480000,133565191970480000,8,Device1.ServoMonitor_MACPOS2:OR
9, -75.929,8,1,192,133565191970510000,133565191970510000,9,Device1.ServoMonitor_MACPOS3:OR
10, -90.233,8,1,192,133565191970550000,133565191970550000,10,Device1.ServoMonitor_MATPOS1:OR
11, -76.445,8,1,192,133565191970590000,133565191970590000,11,Device1.ServoMonitor_MATPOS2:OR
12,  77.155,8,1,192,133565191970620000,133565191970620000,12,Device1.ServoMonitor_MATPOS3:OR
13, -76.205,8,1,192,133565191970660000,133565191970660000,13,Device1.ServoMonitor_SCAPOS1:OR
14, -76.112,8,1,192,133565191970690000,133565191970690000,14,Device1.ServoMonitor_SCAPOS2:OR
15, -76.022,8,1,192,133565191970730000,133565191970730000,15,Device1.ServoMonitor_SCAPOS3:OR
16, 172.699,8,1,192,133565191970980000,133565191970980000,16,Device1.ServoMonitor_RemainCommand1:OR
17, 172.699,8,1,192,133565191971010000,133565191971010000,17,Device1.ServoMonitor_RemainCommand2:OR
18, 172.521,8,1,192,133565191971050000,133565191971050000,18,Device1.ServoMonitor_RemainCommand3:OR
19, -72.521,8,1,192,133565191971080000,133565191971080000,19,Device1.ServoMonitor_CurrentPosition1:OR
20, -72.343,8,1,192,133565191971120000,133565191971120000,20,Device1.ServoMonitor_CurrentPosition2:OR
21, -72.343,8,1,192,133565191971150000,133565191971150000,21,Device1.ServoMonitor_CurrentPosition3:OR
22,E,3,1,192,133565191971170000,133565191971170000,22,Device1.SpindleMonitor_Gain1:OR
23,FFFA5CDC,3,1,192,133565191971190000,133565191971190000,23,Device1.SpindleMonitor_Droop1:OR
44,4,3,1,192,133565191971210000,133565191971210000,44,Device1.SpindleMonitor_Load1:OR
45,7DE45,3,1,192,133565191971310000,133565191971310000,45,Device1.SpindleMonitor_CycleCount1:OR
28,2E,3,1,192,133565191979030000,133565191979030000,28,Device1.ServoMonitor_Gain1:OR
36,FF84,3,1,192,133565191979450000,133565191979450000,36,Device1.ServoMonitor_Speed3:OR
6,1,3,1,192,133565191979520000,133565191979520000,6,Device1.ServoMonitor_Current2:OR
2,FFFE,3,1,192,133565191979560000,133565191979560000,2,Device1.ServoMonitor_Current3:OR
